time,expected_pnl,is_bid,market,price,size_base,size_usd,total_cost,total_units,rolling_pnl
2026-04-05 00:07:20.815713813,0.10741661368912078,False,MONUSDC,0.02716999995118417,20485.1059992638,556.68276,-4807.500556999998,-177099.96522932436,-4.305489635463346
2026-04-05 00:07:21.236475046,0.029407089527860423,False,MONUSDC,0.027167999928211835,13929.8355418138,378.40398,-5185.946327999997,-191029.80077113817,-3.951285636605462
2026-04-05 00:07:21.643067684,0.024846014319320382,False,MONUSDC,0.027167999915033852,11769.3744478798,319.71506,-5505.696691999998,-202799.17521901795,-3.9512831192178055
2026-04-05 00:07:21.643079614,0.0009390635606834948,False,MONUSDC,0.02716799775424427,445.2832008244,12.09612,-5517.794144999998,-203244.45841984235,-3.950844912872526
2026-04-05 00:07:22.017968176,0.0003146603797658538,False,MONUSDC,0.02716799331193867,149.519839517,4.06171,-5521.856298999998,-203393.97825935934,-3.9499420388756334
2026-04-05 00:07:22.426412112,0.0048635932214766316,False,MONUSDC,0.02716799956601641,2304.2292402826,62.59439,-5584.457597999998,-205698.20749964195,-3.9512140806273237
2026-04-05 00:07:22.426424652,0.00046207853498881387,False,MONUSDC,0.027167995441039684,219.3481301531,5.95859,-5590.416846999999,-205917.55562979507,-3.9503655803091533
2026-04-05 00:07:22.846319994,0.0003146681508124156,False,MONUSDC,0.027167993312099542,149.523593934,4.06181,-5594.479102999999,-206067.07922372906,-3.9499271941585903
2026-04-05 00:07:26.038999793,0.004555954384706962,True,MONUSDC,0.027163000000000003,3000.0,81.495,-5512.990102999999,-203067.07922372906,-2.920969954154316
2026-04-05 00:07:29.249190298,0.01045515156689093,False,MONUSDC,0.02716699985235344,6772.9230316192,183.98645,-5696.990101999999,-209840.00225534826,-3.733208288892456
2026-04-05 00:07:29.249201328,0.0009082304890745903,False,MONUSDC,0.027166998302065083,588.9498288364,15.99882,-5712.9901009999985,-210428.95208418465,-3.7328829763810063
2026-04-05 00:07:29.663933337,0.02272976462685586,False,MONUSDC,0.027166999932082686,14723.7457209113,399.97055,-6112.990099999998,-225152.69780509596,-3.7332259792774494
2026-04-05 00:07:58.150885638,0.0031495208271664797,True,MONUSDC,0.0271679998658898,3628.371741998,98.56472,-6014.414496999998,-221524.32606309795,-3.9583637735750017
2026-04-05 00:07:58.572531979,0.0025351122367568784,True,MONUSDC,0.027167999999999998,2921.0,79.34897,-5935.056768999998,-218603.32606309795,-3.95839348224672
2026-04-05 00:08:04.160052851,-2.3941018427038046,True,MONUSDC,0.02717499999862563,52729.525522446,1432.92486,-4502.131912999997,-165873.80054065195,-5.488616464246661
2026-04-05 00:08:04.160098272,0.472736308194718,False,MONUSDC,0.027136999987252566,64406.0289206991,1750.23384,-6249.918318999998,-230279.82946135104,0.8145898427910652
2026-04-05 00:08:04.160107582,0.34892375143558135,False,MONUSDC,0.027151999975752964,15601.3379632545,423.96636,-6673.525846999997,-245881.16742460555,-2.6396049510030934
2026-04-05 00:08:04.573709116,0.5401688293818071,False,MONUSDC,0.027151999951648385,20681.7781378903,562.02732,-7235.077485999997,-266562.94556249585,-2.639599024140807
2026-04-05 00:08:04.573751036,0.0014569211559671944,False,MONUSDC,0.02712599995121965,20500.008884465,557.08774,-7791.160725999997,-287062.9544469608,4.291037674769541
2026-04-05 00:08:04.573786436,0.0031220827982182003,False,MONUSDC,0.027125999988546565,43907.0200362341,1193.17327,-8982.182550999998,-330969.97448319494,4.291026959595911
2026-04-05 00:08:04.573795066,0.5455217677480028,False,MONUSDC,0.027140999972623977,36131.5145348048,981.87391,-9962.827985999998,-367101.48901799973,-0.6735173877532361
2026-04-05 00:08:04.980377737,0.47504182242559156,False,MONUSDC,0.027140999968050604,31299.472348108,850.56316,-10812.326963999998,-398400.96136610775,-0.6735157088623964
2026-04-05 00:08:04.980389287,0.6173454049947054,False,MONUSDC,0.0271409999754152,40675.5258833499,1105.35742,-11916.301410999999,-439076.4872494576,-0.6735186429232272
2026-04-05 00:08:04.980422827,0.20658502817540284,False,MONUSDC,0.02713099999001654,40041.9600235803,1088.14026,-13002.679827999998,-479118.4472730379,3.7172398184666235
2026-04-05 00:08:05.407886808,0.12926731788904386,False,MONUSDC,0.027130999961822187,26193.1727544137,710.48981,-13713.326796999998,-505311.6200274516,3.7172533269003907
2026-04-05 00:08:05.767759207,0.1118722972525106,False,MONUSDC,0.027129999964824236,28428.6515665315,771.12717,-14484.596112999998,-533740.271593983,4.222563429959337
2026-04-05 00:08:05.767771298,0.011810854547424834,False,MONUSDC,0.02712999966684101,3001.5660892001,81.41748,-14566.028599999998,-536741.8376831831,4.222722475606133
2026-04-05 00:08:06.183960030,0.004800048613344037,False,MONUSDC,0.027129999167321433,1200.9407298193,32.57552,-14598.610120999998,-537942.7784130025,4.22299058866156
2026-04-05 00:08:06.183970870,0.014654509604800893,False,MONUSDC,0.027129999727219474,3665.9492443789,99.43887,-14698.067322999997,-541608.7276573814,4.222689395552152
2026-04-05 00:08:06.583092432,0.017125643588538766,False,MONUSDC,0.027129999755815294,4095.2573534832,111.08386,-14809.171653999998,-545703.9850108647,4.222673907806893
2026-04-05 00:08:06.583103492,0.011505367245135695,False,MONUSDC,0.027129999636543597,2751.3586067084,74.6306,-14883.816011999997,-548455.343617573,4.222738994847532
2026-04-05 00:08:06.583113142,0.011867115702177845,False,MONUSDC,0.027129999647621722,2837.8585329893,76.97691,-14960.807112999997,-551293.2021505623,4.222732918990005
